StateAbbr,StateDesc,PlaceName,PlaceFIPS,TotalPopulation,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,OBESITY_CrudePrev,Longitude,Latitude
MA,Massachusetts,Methuen Town,2540710,47252,14.5,19.7,27.2,-71.22024925,42.72258624
MA,Massachusetts,Beverly,2505595,39502,11.8,19.7,24.7,-70.86209349,42.56882142
MA,Massachusetts,Williamstown,2579950,4325,8.8,19.7,17.7,-73.20121325,42.70871133
MA,Massachusetts,Lawrence,2534550,76380,17.2,19.6,33.5,-71.16261467,42.70024364
MA,Massachusetts,Leominster,2535075,40759,16.6,19.6,31.6,-71.77167098,42.52087855
MA,Massachusetts,South Dennis,2563655,3643,13.9,19.6,26.1,-70.1567585,41.7013319
MA,Massachusetts,Salisbury,2559210,4869,13.3,19.6,26,-70.84153305,42.83651574
MA,Massachusetts,Barnstable Town,2503690,45193,13.9,19.6,25.9,-70.36045615,41.67286573
MA,Massachusetts,Hatfield,2529230,1318,11.9,19.6,23.1,-72.599467,42.37611513
MA,Massachusetts,Weweantic,2578850,2105,17,19.5,25.7,-70.73366645,41.73348459
MA,Massachusetts,Lee,2534620,2051,13.1,19.5,22.7,-73.25039808,42.30685029
MA,Massachusetts,Pepperell,2552770,2504,12.1,19.5,22.6,-71.59038724,42.6694132
MA,Massachusetts,East Douglas,2518875,2557,13.9,19.4,28.7,-71.71207505,42.07792765
MA,Massachusetts,Everett,2521990,41667,15.6,19.4,26.1,-71.05369716,42.40718776
MA,Massachusetts,Great Barrington,2526780,2231,14.7,19.4,24.8,-73.36216354,42.193581
MA,Massachusetts,Bridgewater Town,2508130,26563,14.6,19.4,24,-70.97487499,41.97282989
MA,Massachusetts,Buzzards Bay,2510015,3859,11.7,19.4,21.9,-70.61133619,41.74965395
MA,Massachusetts,East Brookfield,2518595,1323,15.1,19.3,29.5,-72.0393865,42.23474065
MA,Massachusetts,Barre,2503705,1009,14.5,19.3,29.1,-72.10637994,42.4230077
MA,Massachusetts,South Lancaster,2564460,1894,13.6,19.3,28.8,-71.70032875,42.43226207
MA,Massachusetts,Peabody,2552490,51251,13.5,19.3,25.9,-70.97255217,42.53351488
MA,Massachusetts,Ipswich,2532275,4222,12.4,19.3,25.7,-70.83072324,42.67922127
MA,Massachusetts,Bellingham,2504965,4854,12.6,19.3,25.2,-71.47608788,42.09397924
MA,Massachusetts,Shirley,2561555,1441,13.4,19.3,23.3,-71.656072,42.54405504
MA,Massachusetts,Townsend,2570325,1128,12,19.3,22.6,-71.7061655,42.67255148
MA,Massachusetts,Granby,2526500,1368,11.7,19.3,22.3,-72.5243782,42.26324323
MA,Massachusetts,Petersham,2553085,243,15.4,19.2,30.5,-72.18724895,42.4910423
MA,Massachusetts,Brockton,2509000,93810,19.7,19.2,29.5,-71.02418945,42.08206034
MA,Massachusetts,Mashpee Neck,2539152,1000,12.4,19.2,25.5,-70.46744835,41.61227058
MA,Massachusetts,Danvers,2516285,26493,12.1,19.2,25,-70.95044414,42.57485734
MA,Massachusetts,Edgartown,2521115,644,13.6,19.2,24.3,-70.51914252,41.39029552
MA,Massachusetts,Lunenburg,2537385,1760,14.3,19.1,29.6,-71.72696936,42.59342091
MA,Massachusetts,Bourne,2507140,1418,13.3,19.1,26.1,-70.60816863,41.73450422
MA,Massachusetts,South Yarmouth,2566035,11092,13.8,19.1,25.6,-70.20040505,41.66939507
MA,Massachusetts,Rowley,2558370,1416,11.8,19.1,25.5,-70.87497458,42.71863218
MA,Massachusetts,Onset,2551160,1573,16.3,19,26.2,-70.670061,41.74991692
MA,Massachusetts,Sandwich,2559700,2962,12.2,19,25.5,-70.49966687,41.7570591
MA,Massachusetts,Weymouth Town,2578972,53743,12.8,19,25.5,-70.94751396,42.19411079
MA,Massachusetts,Northwest Harwich,2549700,3929,12.5,19,25.3,-70.10264919,41.69200169
MA,Massachusetts,Ocean Bluff-Brant Rock,2550862,4970,14,19,24.5,-70.67184,42.10900746
MA,Massachusetts,Hanson,2528460,2118,14.8,19,24,-70.85212705,42.06490538
MA,Massachusetts,Sturbridge,2568120,2253,13.7,18.9,29.2,-72.06345449,42.10011396
MA,Massachusetts,Rutland,2558790,2111,12.7,18.9,28.3,-71.951944,42.36753341
MA,Massachusetts,South Ashburnham,2562780,1062,12.8,18.9,27.8,-71.93838491,42.61381135
MA,Massachusetts,Holbrook,2530420,10791,13.6,18.9,26.6,-71.00568312,42.14705019
MA,Massachusetts,East Harwich,2519400,4872,12.1,18.9,25.2,-70.03505791,41.70777361
MA,Massachusetts,Seconsett Island,2560627,100,10.4,18.9,24.3,-70.51230228,41.56610773
MA,Massachusetts,Plymouth,2554275,7494,14.5,18.9,23.9,-70.67002499,41.95320933
MA,Massachusetts,Hudson,2531575,14907,11.9,18.9,22.4,-71.56449623,42.39182442
MA,Massachusetts,Fiskdale,2523840,2583,13,18.8,28.7,-72.10865002,42.12269045
MA,Massachusetts,Wilbraham,2579705,3915,11.8,18.8,26.2,-72.43450608,42.13408343
MA,Massachusetts,Green Harbor-Cedar Crest,2527147,2609,13.4,18.8,24.3,-70.65906217,42.07485574
MA,Massachusetts,Lowell,2537000,106519,15.9,18.8,24.1,-71.32171402,42.63887091
MA,Massachusetts,Marlborough,2538715,38499,12.6,18.8,23.2,-71.54681112,42.34939967
MA,Massachusetts,Hanscom AFB,2528425,1394,9.1,18.8,20.9,-71.279314,42.4582336
MA,Massachusetts,Hopedale,2530980,3753,13.3,18.7,28.6,-71.54106275,42.12796914
MA,Massachusetts,Harwich Center,2529055,1798,11.8,18.7,25.3,-70.06939186,41.69236178
MA,Massachusetts,Abington,2500135,15985,14,18.7,23.7,-70.9590365,42.11804521
MA,Massachusetts,Pinehurst,2553680,7152,12.5,18.7,22.3,-71.23395545,42.53335572
MA,Massachusetts,Newburyport,2545245,17416,10.2,18.6,24.8,-70.9019129,42.81324242
MA,Massachusetts,Kingston,2533185,5591,13.9,18.6,23.9,-70.73110346,41.99646567
MA,Massachusetts,Wilmington,2580195,22325,11.3,18.6,22.1,-71.16540581,42.56091555
MA,Massachusetts,Somerville,2562535,75754,9.9,18.6,20.6,-71.103662,42.38603872
MA,Massachusetts,Nantucket,2543755,7446,12.9,18.5,25.6,-70.10573,41.27808338
MA,Massachusetts,West Wareham,2578410,2064,15.7,18.5,25.5,-70.75498852,41.78999746
MA,Massachusetts,Pocasset,2554450,2851,12.2,18.5,25,-70.60385252,41.68672725
MA,Massachusetts,Monomoscoy Island,2541960,147,10.3,18.5,24.5,-70.507356,41.56645783
MA,Massachusetts,Essex,2521815,1471,10.4,18.4,25,-70.77431137,42.63329722
MA,Massachusetts,Teaticket,2569205,1692,11.2,18.4,24.8,-70.58573659,41.562475
MA,Massachusetts,Maynard,2539660,10106,10.1,18.4,21.8,-71.45610558,42.42639489
MA,Massachusetts,Foxborough,2524855,5625,11.1,18.3,24.3,-71.24826591,42.06442331
MA,Massachusetts,Franklin Town,2525172,31635,10.8,18.3,24.1,-71.41128083,42.08621126
MA,Massachusetts,Hull,2531680,10293,12.7,18.3,23.8,-70.87420654,42.28295698
MA,Massachusetts,East Sandwich,2520380,3940,9.3,18.3,23.2,-70.43416795,41.73647955
MA,Massachusetts,Framingham,2524960,68318,11.9,18.3,22.7,-71.43675643,42.30854055
MA,Massachusetts,Groton,2527445,1124,9.2,18.3,21.8,-71.57065348,42.60836211
MA,Massachusetts,Wakefield,2572250,24932,10.2,18.3,21.4,-71.0655908,42.50350423
MA,Massachusetts,Walpole,2572460,5918,11.5,18.2,24.8,-71.24381995,42.13708274
MA,Massachusetts,Millis-Clicquot,2541532,4403,11,18.2,24.1,-71.35443025,42.16480752
MA,Massachusetts,North Lakeville,2548220,2630,13.4,18.2,23.7,-70.94107264,41.8620075
MA,Massachusetts,Falmouth,2523070,3799,11.6,18.1,24.6,-70.60906986,41.55192512
MA,Massachusetts,Longmeadow,2536335,15784,9.1,18.1,24.4,-72.57192835,42.04755432
MA,Massachusetts,North Pembroke,2548710,3292,12.4,18.1,22.6,-70.78227649,42.09889945
MA,Massachusetts,Andover,2501430,8762,8.9,18.1,22.5,-71.14183483,42.65539231
MA,Massachusetts,Ayer,2503040,2868,10.5,18.1,21.9,-71.58479098,42.56137883
MA,Massachusetts,Littleton Common,2536020,2789,9.8,18.1,21.7,-71.4727473,42.53525228
MA,Massachusetts,Medford,2539835,56173,10.3,18.1,21.5,-71.109201,42.42390827
MA,Massachusetts,West Brookfield,2575365,1413,13.4,18,28.4,-72.15072225,42.23799793
MA,Massachusetts,Provincetown,2555535,2642,12.7,18,26.9,-70.19796275,42.04555962
MA,Massachusetts,Rockport,2557845,4966,9.5,18,24.1,-70.61612565,42.64507973
MA,Massachusetts,Swampscott,2568680,13787,9.8,18,23.9,-70.90674736,42.47590454
MA,Massachusetts,Marshfield,2538820,4335,12.2,18,23.2,-70.71950425,42.0964512
MA,Massachusetts,Upton,2571445,3013,10.6,17.9,27,-71.61403171,42.17642486
MA,Massachusetts,Nahant,2543615,3410,10.1,17.9,24.5,-70.93053307,42.42425881
MA,Massachusetts,North Eastham,2547590,1806,10.4,17.9,24.2,-69.99691975,41.85424955
MA,Massachusetts,West Dennis,2575820,2242,10.8,17.9,24.2,-70.1656608,41.66640162
MA,Massachusetts,Braintree Town,2507740,35744,11.8,17.9,24.2,-71.00255731,42.20359173
MA,Massachusetts,Woburn,2581035,38120,11,17.9,21.8,-71.15426662,42.48687855
MA,Massachusetts,Westborough,2575050,4045,11.7,17.8,27.2,-71.6168463,42.26717597
MA,Massachusetts,West Chatham,2575505,1410,10.5,17.8,24.9,-69.99182213,41.68060636
MA,Massachusetts,Norwood,2550285,28602,11.4,17.8,24.5,-71.19482199,42.18604722
MA,Massachusetts,Marblehead,2538435,19808,8.8,17.8,24.1,-70.86384657,42.49902077
MA,Massachusetts,Lynnfield,2537595,11596,10.2,17.8,23.8,-71.05309025,42.54853908
MA,Massachusetts,Siasconset,2561940,205,9.8,17.8,23.2,-69.97197074,41.26348419
MA,Massachusetts,Stoneham,2567700,21437,10.2,17.8,21.5,-71.09716235,42.47408935
MA,Massachusetts,Waltham,2572600,60632,9.7,17.8,20.5,-71.24231313,42.38891388
MA,Massachusetts,Yarmouth Port,2582595,5320,10.7,17.7,24.7,-70.22571395,41.7099999
MA,Massachusetts,Dennis,2516740,2407,10.6,17.7,24.2,-70.2049465,41.73498563
MA,Massachusetts,Melrose,2540115,26983,9.3,17.7,21.2,-71.05900818,42.45561485
MA,Massachusetts,Watertown Town,2573440,31915,8.9,17.7,20.3,-71.17744578,42.36997893
MA,Massachusetts,East Dennis,2518840,2753,10.9,17.6,24.7,-70.15782758,41.73936674
MA,Massachusetts,West Falmouth,2575960,1738,9.7,17.6,23.7,-70.63542802,41.5983419
MA,Massachusetts,Malden,2537875,59450,13.6,17.6,23.4,-71.05757895,42.43050109
MA,Massachusetts,Orleans,2551405,1621,10.2,17.5,24.3,-70.0013738,41.78988113
MA,Massachusetts,Boxford,2507385,2343,8.6,17.5,23.5,-70.98311223,42.6694146
MA,Massachusetts,Scituate,2560295,5245,11.5,17.5,22.9,-70.73655036,42.18672533
MA,Massachusetts,Madaket,2537735,236,10.6,17.4,23.7,-70.18485667,41.28263296
MA,Massachusetts,Northborough,2546785,6167,10.7,17.3,26.4,-71.64502488,42.31103175
MA,Massachusetts,Dedham,2516530,24729,10.5,17.3,24.4,-71.17765349,42.24662678
MA,Massachusetts,Harwich Port,2529090,1644,9.8,17.3,24.3,-70.0640963,41.6724533
MA,Massachusetts,Reading,2556165,24747,8.5,17.3,20.5,-71.10557343,42.53505482
MA,Massachusetts,Cambridge,2511000,105162,7.9,17.3,19,-71.136245,42.3840328
MA,Massachusetts,Cordaville,2515340,2650,10.8,17.2,27.1,-71.52214356,42.27268028
MA,Massachusetts,Seabrook,2560505,455,9.5,17.2,23.6,-70.49917566,41.58311446
MA,Massachusetts,Medfield,2539730,6483,8.7,17.2,23.4,-71.30319216,42.18701647
MA,Massachusetts,Topsfield,2570115,2717,8.9,17.2,23.2,-70.95513507,42.63930938
MA,Massachusetts,Marshfield Hills,2538960,2356,11.4,17.2,23.2,-70.73218306,42.14820761
MA,Massachusetts,Marion Center,2538575,1111,12.1,17.2,23.2,-70.7633825,41.70092094
MA,Massachusetts,Brewster,2507945,2000,9,17.2,22.9,-70.078855,41.76085578
MA,Massachusetts,Woods Hole,2581245,781,8.5,17.2,22.3,-70.65943071,41.53041139
MA,Massachusetts,New Seabury,2545500,717,9.3,17.1,23.9,-70.482765,41.56487285
MA,Massachusetts,Quincy,2555745,92271,12.9,17.1,23.2,-71.02187618,42.24934568
MA,Massachusetts,Mattapoisett Center,2539485,2915,11.1,17.1,22.3,-70.80776,41.67263936
MA,Massachusetts,Milton,2541725,27003,9.5,17,24.1,-71.08455894,42.24102021
MA,Massachusetts,Sharon,2560820,5658,8.8,17,23.2,-71.18351214,42.11739803
MA,Massachusetts,North Falmouth,2547730,3084,8.6,17,22.5,-70.62500995,41.6392225
MA,Massachusetts,Wellesley,2574210,27982,7.6,17,20.9,-71.28543013,42.30434407
MA,Massachusetts,North Scituate,2549165,5077,9.6,16.9,22.1,-70.76512494,42.21212905
MA,Massachusetts,Brookline,2509210,58732,7.6,16.9,20.8,-71.14077914,42.3242838
MA,Massachusetts,Hopkinton,2531050,2550,7.7,16.9,19.9,-71.52282346,42.22357668
MA,Massachusetts,Chatham,2512960,1421,9.2,16.8,23.7,-69.95684798,41.67951993
MA,Massachusetts,Arlington,2501640,42844,8.1,16.8,20.1,-71.16390797,42.41866143
MA,Massachusetts,Randolph Town,2556000,32112,14.1,16.7,28.5,-71.05396091,42.17784705
MA,Massachusetts,Hingham,2530175,5650,9.2,16.7,21.7,-70.8879831,42.23651588
MA,Massachusetts,Burlington,2509875,24498,9.3,16.6,20.2,-71.20268287,42.50215344
MA,Massachusetts,The Pinehills,2569585,955,9.8,16.5,22.9,-70.59996588,41.88819167
MA,Massachusetts,Newton,2545560,85146,7,16.5,18.7,-71.20842576,42.33160123
MA,Massachusetts,Lenox,2534935,1675,9.3,16.4,20.2,-73.28545754,42.35874887
MA,Massachusetts,Belmont,2505105,24729,7.5,16.4,19.6,-71.17949103,42.39598978
MA,Massachusetts,Dover,2517370,2265,7.3,16.3,22.4,-71.27416772,42.24744324
MA,Massachusetts,Popponesset,2555070,220,8.6,16.2,22.8,-70.46078711,41.57619552
MA,Massachusetts,South Duxbury,2563690,3360,7.9,16.2,21.2,-70.7036625,42.0214281
MA,Massachusetts,Needham,2544140,28886,7.8,16.1,22,-71.24107729,42.28137149
MA,Massachusetts,Duxbury,2517860,1802,8.5,16.1,21.6,-70.68215737,42.04297735
MA,Massachusetts,Winchester,2580545,21374,7,15.8,19.3,-71.14630602,42.45178935
MA,Massachusetts,Cochituate,2514570,6569,7.3,15.8,19.2,-71.35766168,42.32899935
MA,Massachusetts,West Concord,2575680,6028,8.8,15.4,21.2,-71.403245,42.45510363
MA,Massachusetts,Devens,2516840,1840,10,14.8,25.1,-71.6191505,42.53573127
MA,Massachusetts,Lexington,2535250,31394,5.9,14.3,17.9,-71.23070648,42.44563028
