GEO_ID,NAME,DATA
Geography,Geographic Area Name,Median Income
25005640202,"Census Tract 6402.02, Bristol County, Massachusetts",39583
25005640300,"Census Tract 6403, Bristol County, Massachusetts",71734
25005640400,"Census Tract 6404, Bristol County, Massachusetts",-
25005640500,"Census Tract 6405, Bristol County, Massachusetts",63125
25005640600,"Census Tract 6406, Bristol County, Massachusetts",55179
25005640700,"Census Tract 6407, Bristol County, Massachusetts",82617
25005640800,"Census Tract 6408, Bristol County, Massachusetts",85608
25005640901,"Census Tract 6409.01, Bristol County, Massachusetts",69260
25005641000,"Census Tract 6410, Bristol County, Massachusetts",42857
25005641101,"Census Tract 6411.01, Bristol County, Massachusetts",-
25005641200,"Census Tract 6412, Bristol County, Massachusetts",33235
25005641300,"Census Tract 6413, Bristol County, Massachusetts",31375
25005641400,"Census Tract 6414, Bristol County, Massachusetts",45219
25005641500,"Census Tract 6415, Bristol County, Massachusetts",70795
25005641600,"Census Tract 6416, Bristol County, Massachusetts",52417
25005641700,"Census Tract 6417, Bristol County, Massachusetts",82284
25005641800,"Census Tract 6418, Bristol County, Massachusetts",67009
25005641900,"Census Tract 6419, Bristol County, Massachusetts",37417
25005642000,"Census Tract 6420, Bristol County, Massachusetts",36915
25005642100,"Census Tract 6421, Bristol County, Massachusetts",54879
25005642200,"Census Tract 6422, Bristol County, Massachusetts",52537
25005642300,"Census Tract 6423, Bristol County, Massachusetts",112000
25005642400,"Census Tract 6424, Bristol County, Massachusetts",95526
25005642500,"Census Tract 6425, Bristol County, Massachusetts",115592
25005644101,"Census Tract 6441.01, Bristol County, Massachusetts",105389
25005644102,"Census Tract 6441.02, Bristol County, Massachusetts",102462
25005644200,"Census Tract 6442, Bristol County, Massachusetts",110221
25005645101,"Census Tract 6451.01, Bristol County, Massachusetts",89853
25005645102,"Census Tract 6451.02, Bristol County, Massachusetts",127368
25005645103,"Census Tract 6451.03, Bristol County, Massachusetts",118983
25005646101,"Census Tract 6461.01, Bristol County, Massachusetts",78591
25005646103,"Census Tract 6461.03, Bristol County, Massachusetts",127404
25005646104,"Census Tract 6461.04, Bristol County, Massachusetts",130486
25005650101,"Census Tract 6501.01, Bristol County, Massachusetts",98676
25005650102,"Census Tract 6501.02, Bristol County, Massachusetts",89500
25005650201,"Census Tract 6502.01, Bristol County, Massachusetts",113785
25005650202,"Census Tract 6502.02, Bristol County, Massachusetts",90785
25005650300,"Census Tract 6503, Bristol County, Massachusetts",63221
25005650400,"Census Tract 6504, Bristol County, Massachusetts",62625
25005650500,"Census Tract 6505, Bristol County, Massachusetts",69564
25005650600,"Census Tract 6506, Bristol County, Massachusetts",45547
25005650700,"Census Tract 6507, Bristol County, Massachusetts",26193
25005650800,"Census Tract 6508, Bristol County, Massachusetts",35967
25005650900,"Census Tract 6509, Bristol County, Massachusetts",31942
25005651001,"Census Tract 6510.01, Bristol County, Massachusetts",100931
25005651002,"Census Tract 6510.02, Bristol County, Massachusetts",96250
25005651100,"Census Tract 6511, Bristol County, Massachusetts",65982
25005651200,"Census Tract 6512, Bristol County, Massachusetts",44194
25005651300,"Census Tract 6513, Bristol County, Massachusetts",37500
25005651400,"Census Tract 6514, Bristol County, Massachusetts",78216
25005651500,"Census Tract 6515, Bristol County, Massachusetts",77679
25005651600,"Census Tract 6516, Bristol County, Massachusetts",59671
25005651700,"Census Tract 6517, Bristol County, Massachusetts",47040
25005651800,"Census Tract 6518, Bristol County, Massachusetts",30417
25005651900,"Census Tract 6519, Bristol County, Massachusetts",38478
25005652000,"Census Tract 6520, Bristol County, Massachusetts",45968
25005652100,"Census Tract 6521, Bristol County, Massachusetts",77917
25005652200,"Census Tract 6522, Bristol County, Massachusetts",72620
25005652300,"Census Tract 6523, Bristol County, Massachusetts",32038
25005652400,"Census Tract 6524, Bristol County, Massachusetts",43563
25005652500,"Census Tract 6525, Bristol County, Massachusetts",48114
25005652600,"Census Tract 6526, Bristol County, Massachusetts",45299
25005652700,"Census Tract 6527, Bristol County, Massachusetts",48981
25005652800,"Census Tract 6528, Bristol County, Massachusetts",92772
25005653101,"Census Tract 6531.01, Bristol County, Massachusetts",86919
25005653102,"Census Tract 6531.02, Bristol County, Massachusetts",132059
25005653203,"Census Tract 6532.03, Bristol County, Massachusetts",98946
25005653204,"Census Tract 6532.04, Bristol County, Massachusetts",122316
25005653301,"Census Tract 6533.01, Bristol County, Massachusetts",153289
25005653304,"Census Tract 6533.04, Bristol County, Massachusetts",152399
25005654100,"Census Tract 6541, Bristol County, Massachusetts",113214
25005654200,"Census Tract 6542, Bristol County, Massachusetts",79211
25005655100,"Census Tract 6551, Bristol County, Massachusetts",98914
25005655200,"Census Tract 6552, Bristol County, Massachusetts",68255
25005655300,"Census Tract 6553, Bristol County, Massachusetts",113281
25005655400,"Census Tract 6554, Bristol County, Massachusetts",109539
25005985500,"Census Tract 9855, Bristol County, Massachusetts",119893
25005985600,"Census Tract 9856, Bristol County, Massachusetts",143661
25005990000,"Census Tract 9900, Bristol County, Massachusetts",-
25007200100,"Census Tract 2001, Dukes County, Massachusetts",70189
25007200200,"Census Tract 2002, Dukes County, Massachusetts",125982
25007200300,"Census Tract 2003, Dukes County, Massachusetts",111667
25007200400,"Census Tract 2004, Dukes County, Massachusetts",145938
25007990000,"Census Tract 9900, Dukes County, Massachusetts",-
25009201100,"Census Tract 2011, Essex County, Massachusetts",143202
25009202101,"Census Tract 2021.01, Essex County, Massachusetts",119890
25009202103,"Census Tract 2021.03, Essex County, Massachusetts",114861
25009202104,"Census Tract 2021.04, Essex County, Massachusetts",115843
25009202200,"Census Tract 2022, Essex County, Massachusetts",185568
25009203100,"Census Tract 2031, Essex County, Massachusetts",214167
25009203200,"Census Tract 2032, Essex County, Massachusetts",182961
25009203301,"Census Tract 2033.01, Essex County, Massachusetts",122143
25009203302,"Census Tract 2033.02, Essex County, Massachusetts",172500
25009204101,"Census Tract 2041.01, Essex County, Massachusetts",81932
25009204102,"Census Tract 2041.02, Essex County, Massachusetts",95893
25009204200,"Census Tract 2042, Essex County, Massachusetts",67292
25009204300,"Census Tract 2043, Essex County, Massachusetts",46604
25009204400,"Census Tract 2044, Essex County, Massachusetts",124167
25009204500,"Census Tract 2045, Essex County, Massachusetts",126635
25009204600,"Census Tract 2046, Essex County, Massachusetts",125000
25009204701,"Census Tract 2047.01, Essex County, Massachusetts",100044
25009204702,"Census Tract 2047.02, Essex County, Massachusetts",85394
25009205100,"Census Tract 2051, Essex County, Massachusetts",89333
25009205200,"Census Tract 2052, Essex County, Massachusetts",78594
25009205300,"Census Tract 2053, Essex County, Massachusetts",134871
25009205400,"Census Tract 2054, Essex County, Massachusetts",114569
25009205500,"Census Tract 2055, Essex County, Massachusetts",65724
25009205600,"Census Tract 2056, Essex County, Massachusetts",66711
25009205700,"Census Tract 2057, Essex County, Massachusetts",90492
25009205800,"Census Tract 2058, Essex County, Massachusetts",56596
25009205900,"Census Tract 2059, Essex County, Massachusetts",62259
25009206000,"Census Tract 2060, Essex County, Massachusetts",73413
25009206100,"Census Tract 2061, Essex County, Massachusetts",55962
25009206200,"Census Tract 2062, Essex County, Massachusetts",87661
25009206300,"Census Tract 2063, Essex County, Massachusetts",97120
25009206400,"Census Tract 2064, Essex County, Massachusetts",80750
25009206500,"Census Tract 2065, Essex County, Massachusetts",46221
25009206600,"Census Tract 2066, Essex County, Massachusetts",75548
25009206700,"Census Tract 2067, Essex County, Massachusetts",69728
25009206800,"Census Tract 2068, Essex County, Massachusetts",31190
25009206900,"Census Tract 2069, Essex County, Massachusetts",44289
25009207000,"Census Tract 2070, Essex County, Massachusetts",37429
25009207100,"Census Tract 2071, Essex County, Massachusetts",69875
25009207200,"Census Tract 2072, Essex County, Massachusetts",65000
25009208101,"Census Tract 2081.01, Essex County, Massachusetts",103554
25009208102,"Census Tract 2081.02, Essex County, Massachusetts",112471
25009208200,"Census Tract 2082, Essex County, Massachusetts",103009
25009208301,"Census Tract 2083.01, Essex County, Massachusetts",93135
25009208302,"Census Tract 2083.02, Essex County, Massachusetts",97432
25009208401,"Census Tract 2084.01, Essex County, Massachusetts",118239
25009208402,"Census Tract 2084.02, Essex County, Massachusetts",128654
