GEO_ID,NAME,S1901_C02_012E,field_259
Geography,Geographic Area Name,Estimate!!Families!!Median income (dollars),
1400000US25005642100,"Census Tract 6421, Bristol County, Massachusetts","54879",
1400000US25005642200,"Census Tract 6422, Bristol County, Massachusetts","52537",
1400000US25005642300,"Census Tract 6423, Bristol County, Massachusetts","112000",
1400000US25005642400,"Census Tract 6424, Bristol County, Massachusetts","95526",
1400000US25005642500,"Census Tract 6425, Bristol County, Massachusetts","115592",
1400000US25005644101,"Census Tract 6441.01, Bristol County, Massachusetts","105389",
1400000US25005644102,"Census Tract 6441.02, Bristol County, Massachusetts","102462",
1400000US25005644200,"Census Tract 6442, Bristol County, Massachusetts","110221",
1400000US25005645101,"Census Tract 6451.01, Bristol County, Massachusetts","89853",
1400000US25005645102,"Census Tract 6451.02, Bristol County, Massachusetts","127368",
1400000US25005645103,"Census Tract 6451.03, Bristol County, Massachusetts","118983",
1400000US25005646101,"Census Tract 6461.01, Bristol County, Massachusetts","78591",
1400000US25005646103,"Census Tract 6461.03, Bristol County, Massachusetts","127404",
1400000US25005646104,"Census Tract 6461.04, Bristol County, Massachusetts","130486",
1400000US25005650101,"Census Tract 6501.01, Bristol County, Massachusetts","98676",
1400000US25005650102,"Census Tract 6501.02, Bristol County, Massachusetts","89500",
1400000US25005650201,"Census Tract 6502.01, Bristol County, Massachusetts","113785",
1400000US25005650202,"Census Tract 6502.02, Bristol County, Massachusetts","90785",
1400000US25005650300,"Census Tract 6503, Bristol County, Massachusetts","63221",
1400000US25005650400,"Census Tract 6504, Bristol County, Massachusetts","62625",
1400000US25005650500,"Census Tract 6505, Bristol County, Massachusetts","69564",
1400000US25005650600,"Census Tract 6506, Bristol County, Massachusetts","45547",
1400000US25005650700,"Census Tract 6507, Bristol County, Massachusetts","26193",
1400000US25005650800,"Census Tract 6508, Bristol County, Massachusetts","35967",
1400000US25005650900,"Census Tract 6509, Bristol County, Massachusetts","31942",
1400000US25005651001,"Census Tract 6510.01, Bristol County, Massachusetts","100931",
1400000US25005651002,"Census Tract 6510.02, Bristol County, Massachusetts","96250",
1400000US25005651100,"Census Tract 6511, Bristol County, Massachusetts","65982",
1400000US25005651200,"Census Tract 6512, Bristol County, Massachusetts","44194",
1400000US25005651300,"Census Tract 6513, Bristol County, Massachusetts","37500",
1400000US25005651400,"Census Tract 6514, Bristol County, Massachusetts","78216",
1400000US25005651500,"Census Tract 6515, Bristol County, Massachusetts","77679",
1400000US25005651600,"Census Tract 6516, Bristol County, Massachusetts","59671",
1400000US25005651700,"Census Tract 6517, Bristol County, Massachusetts","47040",
1400000US25005651800,"Census Tract 6518, Bristol County, Massachusetts","30417",
1400000US25005651900,"Census Tract 6519, Bristol County, Massachusetts","38478",
1400000US25005652000,"Census Tract 6520, Bristol County, Massachusetts","45968",
1400000US25005652100,"Census Tract 6521, Bristol County, Massachusetts","77917",
1400000US25005652200,"Census Tract 6522, Bristol County, Massachusetts","72620",
1400000US25005652300,"Census Tract 6523, Bristol County, Massachusetts","32038",
1400000US25005652400,"Census Tract 6524, Bristol County, Massachusetts","43563",
1400000US25005652500,"Census Tract 6525, Bristol County, Massachusetts","48114",
1400000US25005652600,"Census Tract 6526, Bristol County, Massachusetts","45299",
1400000US25005652700,"Census Tract 6527, Bristol County, Massachusetts","48981",
1400000US25005652800,"Census Tract 6528, Bristol County, Massachusetts","92772",
1400000US25005653101,"Census Tract 6531.01, Bristol County, Massachusetts","86919",
1400000US25005653102,"Census Tract 6531.02, Bristol County, Massachusetts","132059",
